observation_date,CPIAUCSL
6/1/2022,14.9793418
7/1/2022,-0.179022497
8/1/2022,0.748461915
9/1/2022,5.080437586
10/1/2022,6.694994787
11/1/2022,3.132746299
12/1/2022,0.184733392
1/1/2023,6.359943598
2/1/2023,4.107203239
3/1/2023,1.475953779
4/1/2023,4.064396459
5/1/2023,1.93606221
6/1/2023,2.687093202
7/1/2023,2.346280793
8/1/2023,5.788863526
9/1/2023,4.671991919
10/1/2023,1.639099271
11/1/2023,1.761485368
12/1/2023,2.307060814
1/1/2024,3.713869651
2/1/2024,4.907001754
3/1/2024,5.305858684
4/1/2024,2.601988969
5/1/2024,0.582563354
6/1/2024,-0.502060788
7/1/2024,2.010810971
8/1/2024,1.885184517
9/1/2024,2.557277278
10/1/2024,3.422792047
11/1/2024,3.405474643
12/1/2024,4.07234216
,
,
,
,
,
,
,
,
,
,
,
,
,
